operation, n, work
is_empty, 312522, 1
is_empty, 170529, 1
is_empty, 775514, 1
is_empty, 838236, 1
is_empty, 255452, 1
is_empty, 163177, 1
is_empty, 604032, 1
is_empty, 683235, 1
is_empty, 535985, 1
is_empty, 685472, 1
is_empty, 973955, 1
is_empty, 275961, 1
is_empty, 294823, 1
is_empty, 873506, 1
is_empty, 722501, 1
is_empty, 702459, 1
is_empty, 668937, 1
is_empty, 572420, 1
is_empty, 159108, 1
is_empty, 848188, 1
