operation, n, work
size, 312511, 1
size, 170517, 1
size, 775505, 1
size, 838230, 1
size, 255442, 1
size, 163166, 1
size, 604017, 1
size, 683233, 1
size, 535973, 1
size, 685464, 1
size, 973941, 1
size, 275947, 1
size, 294818, 1
size, 873497, 1
size, 722485, 1
size, 702448, 1
size, 668928, 1
size, 572407, 1
size, 159099, 1
size, 848180, 1
