operation, n, work
size, 312522, 625044
size, 170529, 341058
size, 775514, 1551028
size, 838236, 1676472
size, 255452, 510904
size, 163177, 326354
size, 604032, 1208064
size, 683235, 1366470
size, 535985, 1071970
size, 685472, 1370944
size, 973955, 1947910
size, 275961, 551922
size, 294823, 589646
size, 873506, 1747012
size, 722501, 1445002
size, 702459, 1404918
size, 668937, 1337874
size, 572420, 1144840
size, 159108, 318216
size, 848188, 1696376
