operation, n, work
size, 312511, 312522
size, 170517, 170529
size, 775505, 775514
size, 838230, 838236
size, 255442, 255452
size, 163166, 163177
size, 604017, 604032
size, 683233, 683235
size, 535973, 535985
size, 685464, 685472
size, 973941, 973955
size, 275947, 275961
size, 294818, 294823
size, 873497, 873506
size, 722485, 722501
size, 702448, 702459
size, 668928, 668937
size, 572407, 572420
size, 159099, 159108
size, 848180, 848188
