operation, n, work
minChild, 312522, 3
minChild, 170529, 3
minChild, 775514, 3
minChild, 838236, 3
minChild, 255452, 3
minChild, 163177, 3
minChild, 604032, 3
minChild, 683235, 3
minChild, 535985, 3
minChild, 685472, 3
minChild, 973955, 3
minChild, 275961, 3
minChild, 294823, 3
minChild, 873506, 3
minChild, 722501, 3
minChild, 702459, 3
minChild, 668937, 3
minChild, 572420, 3
minChild, 159108, 3
minChild, 848188, 3
