operation, n, work
add, 312523, 1
add, 170530, 1
add, 775515, 1
add, 838237, 1
add, 255453, 1
add, 163178, 1
add, 604033, 1
add, 683236, 1
add, 535986, 1
add, 685473, 1
add, 973956, 1
add, 275962, 1
add, 294824, 1
add, 873507, 1
add, 722502, 1
add, 702460, 1
add, 668938, 1
add, 572421, 1
add, 159109, 1
add, 848189, 1
