operation, n, work
size, 312522, 1
size, 170529, 1
size, 775514, 1
size, 838236, 1
size, 255452, 1
size, 163177, 1
size, 604032, 1
size, 683235, 1
size, 535985, 1
size, 685472, 1
size, 973955, 1
size, 275961, 1
size, 294823, 1
size, 873506, 1
size, 722501, 1
size, 702459, 1
size, 668937, 1
size, 572420, 1
size, 159108, 1
size, 848188, 1
