operation, n, work
add, 312523, 2
add, 170530, 2
add, 775515, 2
add, 838237, 2
add, 255453, 2
add, 163178, 2
add, 604033, 2
add, 683236, 2
add, 535986, 2
add, 685473, 2
add, 973956, 2
add, 275962, 2
add, 294824, 2
add, 873507, 2
add, 722502, 2
add, 702460, 2
add, 668938, 2
add, 572421, 2
add, 159109, 2
add, 848189, 2
