operation, n, work
perc_down, 312522, 85
perc_down, 170529, 80
perc_down, 775514, 93
perc_down, 838236, 90
perc_down, 255452, 85
perc_down, 163177, 80
perc_down, 604032, 90
perc_down, 683235, 90
perc_down, 535985, 90
perc_down, 685472, 90
perc_down, 973955, 95
perc_down, 275961, 85
perc_down, 294823, 85
perc_down, 873506, 90
perc_down, 722501, 90
perc_down, 702459, 90
perc_down, 668937, 90
perc_down, 572420, 93
perc_down, 159108, 83
perc_down, 848188, 90
