operation, n, work
insert, 312523, 91
insert, 170530, 86
insert, 775515, 96
insert, 838237, 96
insert, 255453, 86
insert, 163178, 86
insert, 604033, 96
insert, 683236, 96
insert, 535986, 96
insert, 685473, 96
insert, 973956, 96
insert, 275962, 91
insert, 294824, 91
insert, 873507, 96
insert, 722502, 96
insert, 702460, 96
insert, 668938, 96
insert, 572421, 96
insert, 159109, 86
insert, 848189, 96
