operation, n, work
perc_up, 312523, 36
perc_up, 170530, 34
perc_up, 775515, 38
perc_up, 838237, 38
perc_up, 255453, 34
perc_up, 163178, 34
perc_up, 604033, 38
perc_up, 683236, 38
perc_up, 535986, 38
perc_up, 685473, 38
perc_up, 973956, 38
perc_up, 275962, 36
perc_up, 294824, 36
perc_up, 873507, 38
perc_up, 722502, 38
perc_up, 702460, 38
perc_up, 668938, 38
perc_up, 572421, 38
perc_up, 159109, 34
perc_up, 848189, 38
